framenumber, male_x, male_y, male_angle, female_x, female_y, female_angle
277 ,262,74,1.67906437788 ,260,110,1.65303582317
278 ,260,73,1.48960027358 ,260,109,1.64555213244
279 ,256,67,1.32374659038 ,261,102,1.47435687214
280 ,256,66,1.25868449968 ,260,99,1.43264431261
281 ,256,66,1.25868449968 ,260,99,1.43264431261
282 ,253,69,1.3650309136 ,260,102,1.34705244571
283 ,253,69,1.3650309136 ,260,102,1.34705244571
284 ,253,69,1.3650309136 ,260,102,1.34705244571
285 ,253,69,1.3650309136 ,260,102,1.34705244571
286 ,253,69,1.3650309136 ,260,102,1.34705244571
287 ,256,63,2.0754049329 ,255,93,1.36549483626
288 ,257,64,2.07976918813 ,255,94,1.37066030351
289 ,237,56,1.94204467789 ,255,92,1.36353421706
290 ,234,55,1.81665538053 ,252,86,1.25191101577
291 ,235,51,2.24064305971 ,250,76,1.34012236792
292 ,238,47,2.35969468281 ,251,71,1.44890024791
293 ,243,40,2.44649602433 ,255,65,1.38134810159
294 ,244,39,2.60107588085 ,255,64,1.40159558273
295 ,242,33,2.63682955085 ,258,58,1.21494847036
296 ,241,33,1.69378472617 ,259,59,1.27300591476
297 ,236,30,1.00974604942 ,260,56,1.0772364104
298 ,234,27,0.796828450796 ,259,53,1.03356216642
299 ,227,24,0.621505232543 ,256,48,0.906939509226
300 ,223,21,0.515997581215 ,253,44,0.763521892939
301 ,214,16,0.586407698853 ,243,36,0.782642324301
302 ,211,13,0.556009579223 ,240,33,0.746689116953
303 ,202,13,0.235627571661 ,233,27,0.694501812232
304 ,201,12,0.0912532147516 ,232,25,0.71755599884
305 ,202,13,0.0554303691386 ,231,23,0.687163738164
306 ,205,15,5.85449227177 ,230,24,0.624281045347
307 ,205,15,5.85449227177 ,230,24,0.624281045347
308 ,205,15,5.85449227177 ,230,24,0.624281045347
309 ,205,15,5.85449227177 ,230,24,0.624281045347
310 ,205,15,5.85449227177 ,230,24,0.624281045347
311 ,205,15,5.85449227177 ,230,24,0.624281045347
312 ,205,15,5.85449227177 ,230,24,0.624281045347
313 ,205,15,5.85449227177 ,230,24,0.624281045347
314 ,205,15,5.85449227177 ,230,24,0.624281045347
315 ,219,23,2.75376409405 ,230,52,3.96232031201
316 ,219,24,3.59326597289 ,235,61,3.91312000877
317 ,218,27,4.49790224725 ,248,72,3.7787640644
318 ,219,27,4.471724439 ,255,77,3.69884339904
319 ,223,27,4.20676494425 ,265,85,3.8840108591
320 ,223,26,4.2778175495 ,267,87,3.89730828874
321 ,223,26,4.26274672089 ,266,87,3.83314581386
322 ,222,25,4.35022250795 ,268,90,3.80854299908
323 ,222,24,4.43036821043 ,270,101,3.94550191709
324 ,222,23,4.52272077808 ,268,105,4.1542069275
325 ,221,27,4.58127942939 ,268,115,4.19269652947
326 ,222,31,4.5901275158 ,269,120,4.14253269455
327 ,225,44,4.37383356154 ,270,131,4.38120998513
328 ,228,51,4.27534560338 ,270,140,4.53557212823
329 ,234,63,4.17880441596 ,265,153,4.62276934865
330 ,238,72,4.23313716326 ,263,160,4.73108287529
331 ,246,91,4.37448816654 ,253,166,5.03525105671
332 ,246,91,4.37448816654 ,253,166,5.03525105671
333 ,252,122,4.6075706883 ,239,184,5.08807951747
334 ,255,131,4.76779594283 ,232,188,5.17623617495
335 ,258,149,4.88714105045 ,223,197,5.27093861608
336 ,258,149,4.88714105045 ,223,197,5.27093861608
337 ,253,173,5.22125754568 ,203,210,5.38561186919
338 ,253,173,5.22125754568 ,203,210,5.38561186919
339 ,247,184,5.33412344452 ,187,217,5.56172371602
340 ,247,184,5.33412344452 ,187,217,5.56172371602
341 ,241,195,5.58954928862 ,174,219,5.79838346234
342 ,238,202,5.70423192938 ,164,218,5.89487711233
343 ,235,205,5.94952957211 ,148,220,5.90297232309
344 ,228,208,6.1410308282 ,139,221,5.86344475409
345 ,212,214,6.08365435409 ,129,217,0.14986832508
346 ,206,215,6.0426391433 ,127,213,0.292555303122
347 ,206,217,6.12724537429 ,126,211,0.315743979366
348 ,197,221,6.16813941125 ,129,212,6.16407968848
